id,instrument,family,x,y,pitch,dynamic,spectral_complexity,spectral_center
tenor trombone.m69.Eb4.mp.Wrt57,tenor trombone,trombones,2.4956744,-1.1115086,18,mp,0.0132,664.9
contrabass trombone.m69.Bb2.ppp.Wnc32,contrabass trombone,trombones,13.347141,15.276611,24,ppp,0.0105,368.1
tenor trombone.m85.Eb2.ppp.Wrt1236,tenor trombone,trombones,11.696374,12.565898,33,ppp,0.0264,578.6
tenor trombone.m67.Eb3.f.Wrt2319,tenor trombone,trombones,4.301206,-0.6942291,21,f,0.0169,420.1
contrabass trombone.m70.F2.f.Wnc1757,contrabass trombone,trombones,3.311976,-1.4803609,0,f,0.0279,494.6
contrabass trombone.m71.E3.Db3.Wnc1295,contrabass trombone,trombones,5.584607,15.24684,121,---,0.0171,417.2
tenor trombone.m43.C5.ppp.Wrt765,tenor trombone,trombones,12.20764,13.786009,0,ppp,0.001,537.6
tenor trombone.m78.Gb5.mf.Wrt268,tenor trombone,trombones,6.88483,1.0038865,3,mf,0.0127,832.7
contrabass trombone.m44.Gb3.Wnc1529,contrabass trombone,trombones,6.097069,16.298166,11,---,0.0034,281.0
contrabass trombone.m34.F3.mf.Wnc1708,contrabass trombone,trombones,2.3818252,-0.85316664,16,mf,0.0174,536.1
tenor trombone.m41.Ab1.ppp.Wrt93,tenor trombone,trombones,12.557663,15.165043,40,ppp,0.0364,470.9
contrabass trombone.m71.Bb2.Bb3.Wnc1403,contrabass trombone,trombones,6.2178917,15.184129,208,---,0.0105,423.4
contrabass trombone.m75.E1.fff.Wnc280,contrabass trombone,trombones,10.251941,-6.43492,42,fff,0.0606,942.0
tenor trombone.m89.Eb1.fff.Wrt845,tenor trombone,trombones,12.440759,-8.635848,45,fff,0.0098,316.0
tenor trombone.m81.Eb1.ppp.Wrt1473,tenor trombone,trombones,12.670222,12.880571,45,ppp,0.0097,417.3
contrabass trombone.m8.F2.mf.Wnc1497,contrabass trombone,trombones,6.721445,3.1634893,0,mf,0.0445,685.8
contrabass trombone.m71.E2.Db3.Wnc1283,contrabass trombone,trombones,5.9937015,14.737122,313,---,0.0166,456.9
tenor trombone.m71.D2.E3.Wrt1849,tenor trombone,trombones,6.9756455,15.007599,390,---,0.0246,481.9
contrabass trombone.m69.Bb0.ppp.Wnc0,contrabass trombone,trombones,13.24289,12.79807,48,ppp,0.0259,384.6
contrabass trombone.m77.Db3.fff.Wnc199,contrabass trombone,trombones,12.899884,-3.8571239,21,fff,0.0523,1586.1
tenor trombone.m33.A4.ppp.Wrt1014,tenor trombone,trombones,4.768249,15.253091,3,ppp,0.002,444.0
contrabass trombone.m71.A3.G3.Wnc1376,contrabass trombone,trombones,5.8822613,15.640716,35,---,0.009,370.2
tenor trombone.m33.Eb3.ppp.Wrt996,tenor trombone,trombones,13.2644615,15.7624035,21,ppp,0.0066,324.8
contrabass trombone.m36.Bb3.ppp.Wnc461,contrabass trombone,trombones,13.0809965,15.68844,12,ppp,0.0103,387.3
tenor trombone.m42.Eb4.p.Wrt2230,tenor trombone,trombones,2.2352977,2.7290373,9,p,0.0068,424.3
contrabass trombone.m2.F2.mf.Wnc1470,contrabass trombone,trombones,7.4037275,2.5795183,0,mf,0.078,854.0
contrabass trombone.m74.C1.vrounded oral cavity.mf.Wnc1639,contrabass trombone,trombones,3.255049,1.5399939,4,mf,0.0191,378.9
tenor trombone.m71.A1.Bb3.Wrt1921,tenor trombone,trombones,5.619778,14.382734,458,---,0.0142,480.8
contrabass trombone.m81.G4.fff.Wnc1084,contrabass trombone,trombones,9.346514,-8.769641,3,fff,0.0117,519.0
contrabass trombone.m35.G2.fff.Wnc397,contrabass trombone,trombones,10.181967,-6.4281144,27,fff,0.0364,872.3
contrabass trombone.m76.G2.mf.Wnc345,contrabass trombone,trombones,6.7487707,0.9144815,27,mf,0.0308,658.6
tenor trombone.m71.G1.Db3.Wrt1805,tenor trombone,trombones,7.596678,15.100403,499,---,0.0232,460.1
tenor trombone.m71.G3.Db3.Wrt1828,tenor trombone,trombones,5.9640727,14.1912775,121,---,0.0166,527.5
tenor trombone.m69.Gb1.fff.Wrt11,tenor trombone,trombones,9.169429,-7.469901,51,fff,0.0445,752.0
tenor trombone.m81.Bb1.mf.Wrt1483,tenor trombone,trombones,4.8500967,1.5817007,38,mf,0.0081,457.8
tenor trombone.m71.Db2.G2.Wrt1734,tenor trombone,trombones,6.929365,15.03464,415,---,0.0247,434.9
tenor trombone.m2.G2.fff.Wrt2000,tenor trombone,trombones,10.609766,-7.9180026,3,fff,0.0821,609.6
contrabass trombone.m74.Ab1.vmedium rounded cavity.fff.Wnc1664,contrabass trombone,trombones,7.663209,-8.398363,6,fff,0.0985,611.9
tenor trombone.m11.G2.mf.Wrt2044,tenor trombone,trombones,9.233558,2.85058,3,mf,0.0701,1451.3
